Code,Name,Type.Name,Colour,Shape,Order
BAS,Basenji,African Dogs,#a6cee3,15,1
BAS2,Basenji,African Dogs,#a6cee3,15,1
DNA,Namibian Village Dog,African Dogs,#a6cee3,15,1
BEA,Beagle,European Dogs,#33a02c,15,2
BOX,Boxer,European Dogs,#33a02c,15,2
DAE,Ancient European,European Dogs,#33a02c,15,2
DEU,European Village Dog,European Dogs,#33a02c,15,2
DGS,German Shepard,European Dogs,#33a02c,15,2
DLB,Lebanese Village Dog,European Dogs,#33a02c,15,2
AM,Alaskan_Malamute,Arctic Dogs,#fb9a99,15,3
DAL,Alaskan Husky,Arctic Dogs,#fb9a99,15,3
DGL,Greenland Sledge Dog,Arctic Dogs,#fb9a99,15,3
DHU,Husky,Arctic Dogs,#fb9a99,15,3
DMA,Malamute,Arctic Dogs,#fb9a99,15,3
DSL,Siberian Laika,Arctic Dogs,#fb9a99,15,3
EUR,Eurasier,Arctic Dogs,#fb9a99,15,3
FS,Finnish_Spitz,Arctic Dogs,#fb9a99,15,3
GSD,Greenland_Sledge_Dog,Arctic Dogs,#fb9a99,15,3
SAM,Samoyed,Arctic Dogs,#fb9a99,15,3
SH,Siberian_Husky,Arctic Dogs,#fb9a99,15,3
AED,American_Eskimo_Dog,American Dogs,#cab2d6,15,4
APBT,American_Pit_Bull_Terrier,American Dogs,#cab2d6,15,4
AST,American_Staffordshire_Terrier,American Dogs,#cab2d6,15,4
CD,Carolina_Dog,American Dogs,#cab2d6,15,4
CLD,Catahoula_Leopard_Dog,American Dogs,#cab2d6,15,4
CBR,Chesapeake_Bay_Retriever,American Dogs,#cab2d6,15,4
CHI,Chihuahua,American Dogs,#cab2d6,15,4
DME,Mexican Hairless Dog,American Dogs,#cab2d6,15,4
DPU,Peruvian Hairless Dog,American Dogs,#cab2d6,15,4
NEW,Newfoundland,American Dogs,#cab2d6,15,4
NSDTR,Nova_Scotia_Duck_Tolling_Retriever,American Dogs,#cab2d6,15,4
PIO,Peruvian_Inca_Orchid,American Dogs,#cab2d6,15,4
VDB,Village_Dog_Belize,American Dogs,#cab2d6,15,4
VDB2,Village_Dog_Brazil,American Dogs,#cab2d6,15,4
VDC,Village_Dog_Colombia,American Dogs,#cab2d6,15,4
VDCR,Village_Dog_Costa_Rica,American Dogs,#cab2d6,15,4
VDDR,Village_Dog_Dominican_Republic,American Dogs,#cab2d6,15,4
VDH,Village_Dog_Honduras,American Dogs,#cab2d6,15,4
VDP,Village_Dog_Panama,American Dogs,#cab2d6,15,4
VDPA,Village_Dog_Peru-Arequipa,American Dogs,#cab2d6,15,4
VDPC,Village_Dog_Peru-Cusco,American Dogs,#cab2d6,15,4
VDPI,Village_Dog_Peru-Ica,American Dogs,#cab2d6,15,4
VDPL,Village_Dog_Peru-Loreto,American Dogs,#cab2d6,15,4
VDPP,Village_Dog_Peru-Puno,American Dogs,#cab2d6,15,4
VDPR,Village_Dog_Puerto_Rico,American Dogs,#cab2d6,15,4
VDUA,Village_Dog_US-Alaska,American Dogs,#cab2d6,15,4
XOL,Xoloitzcuintli,American Dogs,#cab2d6,15,4
DID,Indian Village Dog,Asian Dogs,#fdbf6f,15,5
DQA,Qatari Village Dogs,Asian Dogs,#fdbf6f,15,5
VDIC,Village_Dog_India-Chennai,Asian Dogs,#fdbf6f,15,5
VDID,Village_Dog_India-Dehli,Asian Dogs,#fdbf6f,15,5
VDIH,Village_Dog_India-Hazaribagh,Asian Dogs,#fdbf6f,15,5
VDIM,Village_Dog_India-Mumbai,Asian Dogs,#fdbf6f,15,5
VDIO,Village_Dog_India-Orissa,Asian Dogs,#fdbf6f,15,5
CSP,Chinese_Shar-pei,East Asian Dogs,#e31a1c,15,6
CC,Chow_Chow,East Asian Dogs,#e31a1c,15,6
DCH,Chinese Village Dog,East Asian Dogs,#e31a1c,15,6
DTI,Tibetan Village Dog,East Asian Dogs,#e31a1c,15,6
DTM,Tibetan Mastiff,East Asian Dogs,#e31a1c,15,6
DVN,Vietnamese Village Dog,East Asian Dogs,#e31a1c,15,6
NGSD,New_Guinea_Singing_Dog,East Asian Dogs,#e31a1c,15,6
VDIB,Village_Dog_Indonesia-Borneo,East Asian Dogs,#e31a1c,15,6
VDIJ,Village_Dog_Indonesia-Jakarta,East Asian Dogs,#e31a1c,15,6
VDPNGEH,Village_Dog_Papua_New_Guinea-East_Highlands_,East Asian Dogs,#e31a1c,15,6
VDPNGPM,Village_Dog_Papua_New_Guinea-Port_Moresby,East Asian Dogs,#e31a1c,15,6
VDVCB,Village_Dog_Vietnam-Cao_Bang,East Asian Dogs,#e31a1c,15,6
VDVHG,Village_Dog_Vietnam-Ha_Giang,East Asian Dogs,#e31a1c,15,6
VDVLS,Village_Dog_Vietnam-Lang_Son,East Asian Dogs,#e31a1c,15,6
VDVLC,Village_Dog_Vietnam-Lao_Cai,East Asian Dogs,#e31a1c,15,6
DIN,Dingo,Dingo,#ff7f00,15,7
DPC,Pre-contact Dogs,Pre-contact Dogs,#6a3d9a,16,8
CTVT,CTVT,CTVT,#b2df8a,16,9
WAM,American Wolf,American Wolf,#b15928,17,10
WAS,Asian Wolf,Eurasian Wolf,#003c30,17,11
WEU,European Wolf,Eurasian Wolf,#003c30,17,11
WME,Middle-east Wolf,Eurasian Wolf,#003c30,17,11
TAI,Taimyr,Ancient Wolf,#4d4d4d,18,12
COY,Coyote,Coyote,#1f78b4,18,13
OUT,Andean Fox,Outgroup,#ae017e,18,14
