Breed,IID
Afghan_Hound,European Dogs
Airedale_Terrier,European Dogs
Akita,Spitz Dogs
Alaskan_Malamute,Arctic Dogs
American_Eskimo_Dog,Spitz Dogs
American_Pit_Bull_Terrier,European Dogs
American_Staffordshire_Terrier,European Dogs
Australian_Cattle_Dog,European Dogs
Australian_Shepherd,European Dogs
Basenji,African Dogs
Basset_Hound,European Dogs
Beagle,European Dogs
Bearded_Collie,European Dogs
Bedlington_Terrier,European Dogs
Belgian_Malinois,European Dogs
Belgian_Sheepdog,European Dogs
Belgian_Tervuren,European Dogs
Berger_Picard,European Dogs
Bernese_Mountain_Dog,European Dogs
Bichon_Frise,European Dogs
Bloodhound,European Dogs
Boerboel,African Dogs
Border_Collie,European Dogs
Border_Terrier,European Dogs
Borzoi,European Dogs
Boston_Terrier,European Dogs
Bouvier_Des_Flandres,European Dogs
Boxer,European Dogs
Briard,European Dogs
Brittany,European Dogs
Brussels_Griffon,European Dogs
Bullmastiff,European Dogs
Bull_Terrier,European Dogs
Cairn_Terrier,European Dogs
Canaan_Dog,Asian Dogs
Cane_Corso,European Dogs
Cardigan_Welsh_Corgi,European Dogs
Carolina_Dog,American Dogs
Catahoula_Leopard_Dog,American Dogs
Caucasian_Ovcharka,European Dogs
Cavalier_King_Charles_Spaniel,European Dogs
Chesapeake_Bay_Retriever,American Dogs
Chihuahua,American Dogs
Chinese_Crested,Asian Dogs
Chinese_Shar-pei,East Asian Dogs
Chinook,Arctic Dogs
Chow_Chow,East Asian Dogs
Cocker_Spaniel,European Dogs
Collie,European Dogs
Coton_De_Tulear,European Dogs
COY,Coyotes
Croatian_Shepherd,European Dogs
CTVT,CTVT
Curly-Coated_Retriever,European Dogs
Dachshund,European Dogs
Dalmatian,European Dogs
Dandie_Dinmont_Terrier,European Dogs
Doberman_Pinscher,European Dogs
Dogue_De_Bordeaux,European Dogs
Elkhound,Spitz Dogs
English_Bulldog,European Dogs
English_Cocker_Spaniel,European Dogs
English_Setter,European Dogs
English_Springer_Spaniel,European Dogs
English_Toy_Spaniel,European Dogs
Eurasier,Spitz Dogs
Finnish_Spitz,Spitz Dogs
Flat-Coated_Retriever,European Dogs
Fox_Terrier_Wire,European Dogs
French_Bulldog,European Dogs
German_Shepherd_Dog,European Dogs
German_Shorthaired_Pointer,European Dogs
German_Wirehaired_Pointer,European Dogs
Giant_Schnauzer,European Dogs
Golden_Retriever,European Dogs
Gordon_Setter,European Dogs
Gray_Wolf,Eurasian Wolf
Greater_Swiss_Mountain_Dog,European Dogs
Great_Dane,European Dogs
Great_Pyrenees,European Dogs
Greenland_Sledge_Dog,Arctic Dogs
Greyhound,European Dogs
Havanese,European Dogs
Ibizan_Hound,European Dogs
Icelandic_Sheepdog,European Dogs
Irish_Setter,European Dogs
Irish_Water_Spaniel,European Dogs
Irish_Wolfhound,European Dogs
Istrian_Shorthaired_Hound,European Dogs
Italian_Greyhound,European Dogs
Jack_Russell_Terrier,European Dogs
Japanese_Chin,East Asian Dogs
Keeshond,European Dogs
Kerry_Blue_Terrier,European Dogs
Komondor,European Dogs
Labrador_Retriever,European Dogs
Large_Munsterlander,European Dogs
Leonberger,European Dogs
Lhasa_Apso,Asian Dogs
Maltese,European Dogs
Mastiff,European Dogs
Minature_Poodle,European Dogs
Miniature_Dachshund,European Dogs
Miniature_Pinscher,European Dogs
Miniature_Schnauzer,European Dogs
Mix,European Dogs
Neapolitan_Mastiff,European Dogs
Newfoundland,American Dogs
New_Guinea_Singing_Dog,Dingo
Norfolk_Terrier,European Dogs
Norwich_Terrier,European Dogs
Nova_Scotia_Duck_Tolling_Retriever,American Dogs
Old_English_Sheepdog,European Dogs
Otterhound,European Dogs
Papillon,European Dogs
Pekingese,Asian Dogs
Pembroke_Welsh_Corgi,European Dogs
Perdiguero,European Dogs
Peruvian_Inca_Orchid,American Dogs
Pharaoh_Hound,European Dogs
Pomeranian,European Dogs
Poodle,European Dogs
Portuguese_Podengo,European Dogs
Portuguese_Water_Dog,European Dogs
Posavski_Goni,European Dogs
Pug,European Dogs
Puli,European Dogs
Pyrenean_Shepherd,European Dogs
Rat_Terrier,European Dogs
Redbone_Coonhound,American Dogs
Rhodesian_Ridgeback,African Dogs
Rottweiler,European Dogs
Saint_Bernard,European Dogs
Saluki,Asian Dogs
Samoyed,Spitz Dogs
Schipperke,European Dogs
Scottish_Deerhound,European Dogs
Scottish_Terrier,European Dogs
Shetland_Sheepdog,European Dogs
Shiba_Inu,Spitz Dogs
Shih_Tzu,Asian Dogs
Shiloh_Shepherd,European Dogs
Siberian_Husky,Arctic Dogs
Silky_Terrier,European Dogs
Small_Munsterlander,European Dogs
Soft_Coated_Wheaten_Terrier,European Dogs
Spinone_Italiano,European Dogs
Stabyhoun,European Dogs
Staffordshire_Bull_Terrier,European Dogs
Standard_Schnauzer,European Dogs
Taiwanese_Mountain_Dog,East Asian Dogs
Tibetan_Mastiff,East Asian Dogs
Tibetan_Spaniel,East Asian Dogs
Tibetan_Terrier,East Asian Dogs
Tornjak,European Dogs
Toy_Fox_Terrier,European Dogs
Toy_Manchester_Terrier,European Dogs
Toy_Poodle,European Dogs
VD_Afghanistan,Asian Dogs
VD_Belize,American Dogs
VD_Bosnia,European Dogs
VD_Brazil,American Dogs
VD_Burkina_Faso,African Dogs
VD_Colombia,American Dogs
VD_Costa_Rica,American Dogs
VD_Croatia,European Dogs
